id	zi	gloss
1	豐	
2	腔	
3	陪	
4	數	
5	簿	
6	賴	
7	橫	
8	燃	
9	事	
10	後	
11	歲	
12	絕	
13	巷	
14	又	
15	莧	
16	祠	
17	應	
18	答	
19	蟻	
20	掠	
21	遘	
22	艾	
23	問	
24	秋	
25	免	
26	斧	
27	竹	
28	筍	
29	吠	
30	麥	
31	箕	
32	浴	
33	是	
34	楝	
35	喙	
36	豆	
37	熊	
38	鬚	
39	眠床	
40	蜂	
41	乞	
42	初	
43	肚	
44	屬	
45	帶	
46	拗	
47	賜	
48	大	
49	鳥	
50	咬	
51	苦	
52	烏	
53	□	
54	被	
55	盲	
56	□	
57	閘	
58	血	
59	吹	
60	□	
61	鈍	
62	身	
63	骨	
64	冊	
65	矸	
66	樽	
67	底	
68	弓	
69	碗	
70	箱	
71	枝	
72	勇	
73	光	
74	刷	
75	佛	
76	髻	
77	□	
78	尻川	
79	鈕	
80	買	
81	餅	
82	叫	
83	解	
84	燭	
85	𣍐	
86	□	
87	鯉	
88	車	
89	□	
90	捧	
91	貓	
92	□	
93	鏈	
94	椅	
95	變	
96	字	
97	惜	
98	栗	
99	雞	
100	揀	
101	箸	
102	環	
103	城	
104	族	
105	爪	
106	清氣	
107	清	
108	領	
109	把	
110	支	
111	隻	
112	頭	
113	粒	
114	尾	
115	間	
116	座	
117	張	
118	叢	
119	□	climb
120	屐	
121	布	
122	雲	
123	粗	
124	□	roach
125	收	
126	色	
127	梳	
128	來	
129	爽	
130	怨	
131	□	concave (1)
132	塌	concave (2)
133	囥	
134	亂	
135	續	
136	吐	
137	煮	
138	熟	
139	飯	
140	銅	
141	屍	
142	正	
143	改	
144	棉	
145	國	
146	縣	
147	□	cover (v.)
148	罩	
149	牛	
150	蟹	
151	縫	
152	必	
153	匠	
154	爬	
155	酥	
156	渡	
157	鯽	
158	□	cry
159	杯	
160	櫥	
161	鉸	
162	剃	
163	割	
164	劈	
165	□	damp (1)
166	濕	damp (2)
167	敢	
168	暗	
169	□	dash water (on person)
170	日	
171	聾	
172	深	
173	鹿	
174	茸	
175	密	
176	決	
177	露	
178	惡	
179	勤	
180	□□	dirty
181	拆	
182	配	
183	嫌	
184	沕	
185	狗	
186	門	
187	龍	
188	夢	
189	臘	
190	鑽	
191	食	
192	啉	
193	□	dry
194	曝	
195	鴨	
196	薸	
197	餡	
198	染	
199	鷹	
200	耳	
201	早	
202	塗	
203	缸	
204	□	easy
205	食	
206	墘	
207	鱔	
208	卵	
209	茄	
210	八	
211	兄	
212	嫂	
213	胎	
214	空	
215	終	
216	入	
217	估	
218	屎	
219	貴	
220	熄	
221	極	
222	目	
223	眉	
224	面	
225	跋	
226	□	fan (v.)
227	遠	
228	屁	
229	緊	
230	肥	
231	伯	
232	叔	
233	飼	
234	眩	
235	節	
236	少	
237	層	
238	孝	
239	坉	
240	幼	
241	指	
242	甲	
243	腡	
244	完	
245	火	
246	(第)一	
247	魚	
248	拳	
249	五	
250	苧	
251	蚤	
252	浮	
253	花	
254	蠅	
255	飛	
256	□	foam
257	綴	
258	骹	
259	額	
260	林	
261	四	
262	芳	
263	鮮	
264	友	
265	驚	
266	前	
267	果	
268	炒	
269	鼎	
270	充	
271	滇	
272	飽	
273	得	
274	鰓	
275	薑	
276	參	
277	送	
278	生	
279	秫	
280	去	
281	媒	
282	出	
283	金	
284	好	
285	吉	
286	福	
287	鵝	
288	粟	
289	孫	
290	墓	
291	磨	
292	研	
293	約	
294	客	
295	罪	
296	毛	
297	簪	
298	半	
299	籮	
300	手	
301	吊	
302	歡喜	
303	澳	
304	橂	
305	急	
306	帽	
307	孵	
308	有	
309	缺	
310	頭	
311	醫	
312	心	
313	重	
314	麻	
315	鋤	
316	承	
317	抱	
318	含	
319	托	
320	泛	
321	角	
322	馬	
323	熱	
324	厝	
325	家	
326	[若夥]	
327	若	
328	幾	
329	百	
330	億	
331	枵	
332	翁	
333	我	
334	冰	
335	藍	
336	穢	
337	墨	
338	硯	
339	痟	
340	蟲	
341	插	
342	裡	
343	䭕	
344	腸	
345	覆	
346	帖	
347	請	
348	祝	
349	鐵	
350	癢	
351	玉	
352	䖳	
353	□	jest at
354	合	
355	樂	
356	汁	
357	□	jump
358	守	
359	默	
360	踢	
361	治	
362	殺	
363	斟	
364	刀	
365	□	knock
366	知	
367	桸	
368	娘	
369	湖	
370	瘸	
371	燈	
372	話	
373	晏	
374	笑	
375	法	
376	□	lazy
377	箬	
378	倚	
379	學	
380	博	
381	閑	
382	批	
383	舐	
384	倒	
385	輕	
386	綠	
387	唇	
388	聽	
389	荔	
390	肝	
391	長	
392	冗	
393	脫	
394	蝨	
395	下	
396	肺	
397	趁	
398	檨	
399	□	many
400	嫁	
401	桅	
402	肉	
403	膏	
404	藥	
405	瓜	
406	礦	
407	磨	
408	鏡	
409	念	
410	霧	
411	攙	
412	雜	
413	痣	
414	錢	
415	猴	
416	月	
417	臼	
418	蠓	
419	苔	
420	舅	
421	山	
422	喙	
423	動	
424	撬	
425	菇	
426	啞	
427	名	
428	狹	
429	近	
430	頷	
431	岫	
432	網	
433	新	
434	九	
435	北	
436	鼻	
437	唔	
438	無	
439	槳	
440	服	
441	油	
442	老	
443	舊	
444	蜀	
445	家己	
446	獨	
447	開	
448	擘	
449	外	
450	欠	
451	蠔	
452	雙	
453	掌	
454	擘	
455	筆	
456	儂	
457	抾	
458	畫	
459	豬	
460	鴿	
461	柱	
462	夾	
463	□	pinch (2)
464	衣	
465	戲	
466	□□	play (v.)
467	犂	
468	梅	
469	毒	
470	港	
471	□	pour liquid into cup
472	寶	
473	□	press (v.)
474	□	press down
475	□	pretend
476	價	
477	旺	
478	挽	
479	脈	
480	辣	
481	罰	
482	糴	
483	兔	
484	雨	
485	□	rainbow
486	笠	
487	□	raise (head)
488	上	
489	級	
490	贖	
491	鼠	
492	坑	
493	讀	
494	真	
495	鐮	
496	接	
497	認	
498	紅	
499	留	
500	記	
501	徙	
502	宅	
503	息	
504	糜	
505	米	
506	粙	
507	秧	
508	飲	
509	餜	
510	騎	
511	著	
512	癬	
513	□	einse mouth
514	溪	
515	路	
516	賊	
517	□	roll up (sleeves)
518	根	
519	索	
520	圓	
521	挲	
522	舵	
523	尺	
524	走	
525	□	run over
526	伊	
527	篷	
528	瀾	
529	鹽	
530	鹽	
531	鹹	
532	沙	
533	鋸	
534	疕	
535	燙	
536	鱗	
537	罵	
538	刮	
539	海	
540	□	search
541	墟	
542	(第)二	
543	看	
544	睇	
545	□	segment (of orange)
546	奪	
547	賣	
548	糶	
549	寄	
550	撥	
551	設	
552	七	
553	□	sew
554	搖	
555	淺	
556	形	
557	利	
558	尖	
559	羊	
560	船	
561	衫	
562	鞋	
563	店	
564	短	
565	矮	
566	肩	
567	蝦	
568	關	
569	毽	
570	病	
571	篩	
572	蠶	
573	銀	
574	沉	
575	坐	
576	六	
577	皮	
578	裙	
579	天	
580	□	slant
581	䘼	
582	□	slice (of melon)
583	□	slim
584	崩	
585	滑	
586	慢	
587	細	
588	罐	
589	味	
590	鼻	
591	臊	
592	臭	
593	薰	
594	熨	
595	螺	
596	蛇	
597	雪	
598	襪	
599	軟	
600	囝	
601	歌	
602	婿	
603	音	
604	酸	
605	南	
606	□	sparse (of congee)
607	呾	
608	說	
609	講	
610	噴	
611	篾	
612	舒	
613	春	
614	□	sprinkle
615	發	
616	跍	
617	疊	
618	蒂	
619	徛	
620	星	
621	偷	
622	蒸	
623	秤	
624	徛	
625	踏	
626	□	stir
627	石	
628	窒	
629	直	
630	蓆	
631	街	
632	伸	
633	伐	
634	□	strike (a match)
635	拍	
636	□	strike a fire
637	糖	
638	□	sultry
639	夏	
640	熱頭	
641	剩	
642	液	
643	泅	
644	桌	
645	床	
646	□	tadpole
647	尾	
648	褪	
649	娶	
650	懸	
651	乖	
652	芋	
653	稅	
654	茶	
655	教	
656	鬧熱	
657	廟	
658	十	
659	萬	
660	筋	
661	謝	
662	許	
663	茅	
664	[伊儂]	
665	厚	
666	洘	
667	□	this
668	枋	
669	板	
670	薄	
671	想	
672	只	
673	千	
674	線	
675	三	
676	嚨	
677	□	throw down
678	雷	
679	□	tickle
680	結	
681	縛	
682	q虎	
683	緪	
684	瓦	
685	舌	
686	齒	
687	龜	
688	犯	
689	樹	
690	褲	
691	栱	
692	楔	
693	醪	
694	濁	
695	轉	
696	反	
697	旋	
698	兩	
699	傘	
700	遮	
701	生	
702	□	understand
703	升	
704	敨	
705	尿	
706	□	use something to reach higher
707	瓶	
708	菜	
709	吐	
710	腰	
711	行	
712	裘	
713	洗	
714	水	
715	沃	
716	潘	
717	蓮	
718	湧	
719	□	wave (v.)
720	[我儂]	
721	頌	
722	啼	
723	井	
724	乜	
725	白	
726	闊	
727	某	
728	風	
729	逆(風)	
730	彎	
731	窗	
732	酒	
733	翼	
734	簸	
735	冬	
736	拭	
737	退	
738	妙	
739	木	
740	工	
741	包	
742	寫	
743	□	wrong
744	年	
745	麴	
746	黃	
747	汝	
748	[汝儂]	
749	弟	
750	妹	
